# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000269925    1    7801443    7846835     20       6  673089      0.26782     4.996e-16      0.26782
ENSG00000236266    1    7860302    7922402     54      11  681157        1.321    4.4409e-16        1.321
ENSG00000270330    1    7967432    8012786     17       5  680592       2.0302    4.4409e-16       2.0302
ENSG00000238290    1    8051798    8192762     78       8  686198        2.441    4.4409e-16        2.441
ENSG00000232848    1    8107305    8153523     13       3  694168       2.1679    4.4409e-16       2.1679
ENSG00000229305    1    8214884    8262830     37       3  682771      -1.2973    4.4409e-16      -1.2973
ENSG00000227634    1    8233732    8285270     43       7  684091     -0.75594    5.5511e-16     -0.75594
ENSG00000200975    1    8256494    8301657     48       8  684578      -1.1919    4.4409e-16      -1.1919
ENSG00000233645    1    8268250    8315589     41       8  679974      -1.3841    4.4409e-16      -1.3841
ENSG00000265414    1    8325184    8370438     23       4  682495      -1.4297    4.4409e-16      -1.4297
ENSG00000251977    1    8342217    8387323     20       4  683379      -0.6225    5.5511e-16      -0.6225
ENSG00000232912    1    8449705    8504898     31       4  687821        2.391    4.4409e-16        2.391
ENSG00000270282    1    8537712    8583080     22       3  690473        4.281    8.8818e-16        4.281
ENSG00000234619    1    8775489    8821146     19       3  678362       2.3031    4.4409e-16       2.3031
ENSG00000226545    1    8823534    8869565     22       4  672564       2.2272    4.4409e-16       2.2272
ENSG00000224315    1    8836270    8881972     22       4  680692       2.7905    4.4409e-16       2.7905
ENSG00000228423    1    8855919    8902110     23       4  680133       2.9612    4.4409e-16       2.9612
ENSG00000229716    1    8856066    8901434     23       4  680133       2.9612    4.4409e-16       2.9612
ENSG00000230679    1    8903894    8949953     34       5  687368      0.24216    5.2736e-16      0.24216
ENSG00000238249    1    8918468    8964210     28       4  683155      0.61395    5.5511e-16      0.61395
ENSG00000236269    1    8925847    8973066     27       5  674807      0.69661    5.5511e-16      0.69661
ENSG00000201725    1    8933486    8978592     21       5  669796      0.90532    5.5511e-16      0.90532
ENSG00000232663    1    8934801    8979963     20       5  671472      0.98285    5.5511e-16      0.98285
ENSG00000232208    1    8957452    9002803     37      10  670953       1.2258    4.4409e-16       1.2258
ENSG00000265141    1    9029637    9074933     38      14  665910      -1.0331    4.4409e-16      -1.0331
ENSG00000207865    1    9201727    9246836     28       9  691120       -1.195    4.4409e-16       -1.195
ENSG00000234546    1    9207263    9262148     30      10  690034      -1.7349    4.4409e-16      -1.7349
ENSG00000228526    1    9232066    9297678     32       7  691013     -0.95088    5.5511e-16     -0.95088
ENSG00000252841    1    9303450    9348592     26       7  682807     -0.12299    5.2736e-16     -0.12299
ENSG00000252956    1    9487728    9532837     38      10  677097      -1.4889    4.4409e-16      -1.4889
ENSG00000235263    1    9551151    9598530     10       4  673614       0.4893     4.996e-16       0.4893
ENSG00000231181    1    9601485    9647043     10       2  674168      0.73297    5.5511e-16      0.73297
ENSG00000233268    1    9710886    9757684     17       4  677413      -1.4837    4.4409e-16      -1.4837
ENSG00000231789    1    9722484    9782613     19       5  671769      0.30139     4.996e-16      0.30139
ENSG00000271264    1    9805880    9851298      8       2  671026       2.2322    4.4409e-16       2.2322
ENSG00000223989    1    9873376    9920212     20       5  691734       1.8766    4.4409e-16       1.8766
ENSG00000228150    1    9967981   10020032     12       2  691400       0.6206    5.5511e-16       0.6206
ENSG00000202415    1    9972376   10017694     12       2  691400       0.6206    5.5511e-16       0.6206
ENSG00000265521    1    9992439   10037516     14       3  698857      0.28278     4.996e-16      0.28278
ENSG00000241326    1   10008199   10054626     11       2  700470     -0.19523    5.2736e-16     -0.19523
ENSG00000225786    1   10068085   10113592      7       3  653736      -0.7942    5.5511e-16      -0.7942
ENSG00000233623    1   10083729   10129706      5       2  686685       -1.581    4.4409e-16       -1.581
ENSG00000224340    1   10104503   10149839      6       3  665747    -0.060716    5.2736e-16    -0.060716
ENSG00000201746    1   10188326   10233432     18       4  685417      0.64331    5.5511e-16      0.64331
ENSG00000264881    1   10252776   10297861     19       4  692199      0.81629    5.5511e-16      0.81629
ENSG00000199562    1   10324024   10369130     31       3  690001      0.17112    5.2736e-16      0.17112
ENSG00000264501    1   10331523   10376813     30       3  693088      0.16215    5.2736e-16      0.16215
ENSG00000265945    1   10415059   10460353     27       3  696962      0.40424     4.996e-16      0.40424
ENSG00000271989    1   10479938   10525734     19       3  675558      0.10586    5.2736e-16      0.10586
ENSG00000203469    1   10483612   10529395     20       3  676204     0.026058    5.2389e-16     0.026058
ENSG00000243267    1   10641893   10687170     33       6  682656      0.40549     4.996e-16      0.40549
ENSG00000272078    1   10664298   10724390     24       4  680337      0.56791    5.5511e-16      0.56791
ENSG00000225158    1   10920818   10966055     24       8  656146     -0.50448    5.5511e-16     -0.50448
ENSG00000215785    1   11041035   11086854     21       5  671368       3.8556    4.4409e-16       3.8556
ENSG00000264181    1   11048233   11093320     18       3  668736       4.3951    8.8818e-16       4.3951
ENSG00000271895    1   11054716   11100585     19       2  687336       4.3316    8.8818e-16       4.3316
ENSG00000226849    1   11093528   11143154     24       2  697890       5.0212    8.8818e-16       5.0212
ENSG00000230337    1   11124732   11172157     18       1  696124       4.3941    8.8818e-16       4.3941
ENSG00000225602    1   11168955   11219594     12       2  661291        5.755    8.8818e-16        5.755
ENSG00000253086    1   11177407   11222509     10       2  660534       5.8169    8.8818e-16       5.8169
ENSG00000207451    1   11251311   11296417     14       1  705710       4.8523    8.8818e-16       4.8523
ENSG00000238173    1   11258020   11303169     18       1  694078       4.8392    8.8818e-16       4.8392
ENSG00000238199    1   11328673   11374408     13       2  671438      0.99713    5.5511e-16      0.99713
ENSG00000224338    1   11475314   11520878     51       7  679042      -2.3074    4.4409e-16      -2.3074
ENSG00000235643    1   11634588   11683412     19       4  694862     -0.75873    5.5511e-16     -0.75873
ENSG00000177553    1   11827134   11874676     61       7  752080      0.78718    5.5511e-16      0.78718
ENSG00000242349    1   11866074   11918136     65       9  749173       1.1256    4.4409e-16       1.1256
ENSG00000224904    1   11902827   11950463     56      11  742121        1.572    4.4409e-16        1.572
ENSG00000199347    1   11933209   11978328     37       4  734912    -0.097115    5.2736e-16    -0.097115
ENSG00000201801    1   11959865   12004984     21       5  709619       2.1906    4.4409e-16       2.1906
ENSG00000270914    1   12067273   12112365     12       3  663265        0.823    5.5511e-16        0.823
ENSG00000243539    1   12086799   12132071     13       4  665580     -0.21389    5.2736e-16     -0.21389
ENSG00000201135    1   12127938   12173041     25       5  655901      0.51026    5.5511e-16      0.51026
ENSG00000227875    1   12130350   12175604     24       5  656037       0.5076    5.5511e-16       0.5076
ENSG00000263676    1   12216770   12261830     42       7  713581      -4.2531    8.8818e-16      -4.2531
ENSG00000225196    1   12270851   12316166     11       4  659692      -1.0902    4.4409e-16      -1.0902
ENSG00000239149    1   12532300   12577451     15       6  673352      -1.1896    4.4409e-16      -1.1896
ENSG00000229484    1   12552766   12598462     18       7  660409      -1.8607    4.4409e-16      -1.8607
ENSG00000221340    1   12620000   12665100     29       8  681113      -1.0738    4.4409e-16      -1.0738
ENSG00000272482    1   12668906   12714250     44      12  631790     -0.19366    5.2736e-16     -0.19366
ENSG00000226166    1   12717925   12763036     25       3  660384    0.0019949    5.2432e-16    0.0019949
ENSG00000259961    1   13804715   13852765     44      15  659300      -2.7973    4.4409e-16      -2.7973
ENSG00000215909    1   13846496   13892189     36       7  687105      -3.0451    4.4409e-16      -3.0451
ENSG00000222952    1   13939679   13984779     47       7  681850      -1.4869    4.4409e-16      -1.4869
ENSG00000266358    1   13940397   13985497     47       7  681850      -1.4869    4.4409e-16      -1.4869
ENSG00000237445    1   13973806   14021405     30       6  686001       2.2144    4.4409e-16       2.2144
ENSG00000252151    1   14440728   14485830     73       5  690951      -1.7355    4.4409e-16      -1.7355
ENSG00000231606    1   14538386   14584613     54       8  680163      -3.4147    4.4409e-16      -3.4147
ENSG00000234593    1   14665450   14712518     66      15  677640        -2.33    4.4409e-16        -2.33
ENSG00000235829    1   15008625   15054109     34       4  680119      -0.4738     4.996e-16      -0.4738
ENSG00000175147    1   15432448   15513960     77      14  682530      0.39371     4.996e-16      0.39371
ENSG00000215720    1   15508324   15554341     97      13  686029     0.024973    5.2389e-16     0.024973
ENSG00000233485    1   15643176   15705372     28       7  672625     -0.71604    5.5511e-16     -0.71604
ENSG00000236045    1   15650662   15696960     21       5  676576     -0.82818    5.5511e-16     -0.82818
ENSG00000228140    1   15719475   15770929     12       4  687141       -0.927    5.5511e-16       -0.927
ENSG00000272510    1   15882106   15927451     21       3  688694       2.8723    4.4409e-16       2.8723
ENSG00000235084    1   15896077   15941538     22       3  688864       2.7568    4.4409e-16       2.7568
ENSG00000237301    1   15902631   15965121     31       3  689231       2.7963    4.4409e-16       2.7963
ENSG00000252417    1   15924573   15969640     18       2  691064        2.776    4.4409e-16        2.776
ENSG00000236500    1   15931138   15976362     20       2  690674       2.8009    4.4409e-16       2.8009
ENSG00000264048    1   15975967   16021053     24       3  688520        2.166    4.4409e-16        2.166
ENSG00000271742    1   15999368   16044623     20       3  696373       1.4661    4.4409e-16       1.4661
ENSG00000237938    1   16039214   16098391     33       6  691415       1.6656    4.4409e-16       1.6656
ENSG00000224459    1   16056546   16111391     16       5  688971      0.75646    5.5511e-16      0.75646
ENSG00000224321    1   16084291   16129780     23       6  691673       1.0756    4.4409e-16       1.0756
ENSG00000178715    1   16119724   16165167     21       4  695372      0.48616     4.996e-16      0.48616
ENSG00000233954    1   16123679   16169194     23       4  699938      0.42225     4.996e-16      0.42225
ENSG00000179743    1   16150560   16209642     20       4  683032       1.2537    4.4409e-16       1.2537
ENSG00000270620    1   16234193   16279403     22       5  683827      0.59198    5.5511e-16      0.59198
ENSG00000234607    1   16261127   16306689     18       5  684593       1.4575    4.4409e-16       1.4575
ENSG00000231353    1   16279677   16324936     26       6  679153        1.064    4.4409e-16        1.064
ENSG00000224966    1   16281366   16331246     27       6  679612       1.0033    4.4409e-16       1.0033
ENSG00000233078    1   16322655   16368166     45       8  683983       1.4138    4.4409e-16       1.4138
ENSG00000232456    1   16351673   16401524     38       9  681041      0.16196    5.2736e-16      0.16196
ENSG00000227959    1   16446706   16493824     34       6  682759      0.47937     4.996e-16      0.47937
ENSG00000224621    1   16450761   16498378     33       6  682848        0.442     4.996e-16        0.442
ENSG00000234166    1   16489349   16534852     45       5  689167      0.26845     4.996e-16      0.26845
ENSG00000237276    1   16532404   16589522     20       3  685935       1.8388    4.4409e-16       1.8388
ENSG00000233929    1   16557708   16602893     15       2  692811        1.876    4.4409e-16        1.876
ENSG00000226457    1   16685645   16731025     18       4  700030       1.3044    4.4409e-16       1.3044
ENSG00000226029    1   16752443   16804976     24       4  676505      0.79153    5.5511e-16      0.79153
ENSG00000080947    1   16783931   16860752     27       6  672446       2.6838    4.4409e-16       2.6838
ENSG00000261135    1   16806140   16852249     14       3  665957       3.0644    4.4409e-16       3.0644
ENSG00000224174    1   16812189   16858291     11       2  666882       3.2219    4.4409e-16       3.2219
ENSG00000206652    1   16830617   16875780      4       1  659476       3.6776    4.4409e-16       3.6776
ENSG00000266584    1   16840409   16885482      4       1  659476       3.6776    4.4409e-16       3.6776
ENSG00000226526    1   17270421   17341586     23       6  711473       4.2777    8.8818e-16       4.2777
ENSG00000204362    1   17481278   17534112     54       4  679420      -2.8771    4.4409e-16      -2.8771
ENSG00000266634    1   17569384   17614470     76      14  688277      -1.3537    4.4409e-16      -1.3537
ENSG00000256049    1   17663691   17738195    111      19  677101      0.61376    5.5511e-16      0.61376
ENSG00000227751    1   17698256   17743878     58       7  683383      0.68979    5.5511e-16      0.68979
ENSG00000266727    1   17730127   17775190     20       3  694761     -0.06291    5.2736e-16     -0.06291
ENSG00000236648    1   18009182   18086473     73       8  677260      -2.3493    4.4409e-16      -2.3493
ENSG00000261781    1   18357151   18410906     66       9  685371      -1.5947    4.4409e-16      -1.5947
ENSG00000230035    1   18483423   18540840     64      20  667415     -0.29767     4.996e-16     -0.29767
ENSG00000225387    1   18677323   18725008     79      13  687117      0.39664     4.996e-16      0.39664
ENSG00000235282    1   18804612   18849881     72      15  682223     -0.17666    5.2736e-16     -0.17666
ENSG00000225478    1   18886908   18932130     46       7  675668      -1.3892    4.4409e-16      -1.3892
ENSG00000265606    1   19199696   19244769     13       5  623885       -1.241    4.4409e-16       -1.241
ENSG00000221662    1   19213565   19258642     15       6  644772     -0.75108    5.5511e-16     -0.75108
ENSG00000272084    1   19388604   19437005     44       6  686785       2.1508    4.4409e-16       2.1508
ENSG00000266098    1   19400046   19445145     37       5  686399       2.1397    4.4409e-16       2.1397
ENSG00000230424    1   19501995   19577198     47       8  695572       1.4824    4.4409e-16       1.4824
ENSG00000211454    1   19582476   19635688     31       8  677965       1.0916    4.4409e-16       1.0916
ENSG00000270728    1   19588574   19634397     22       6  673710      0.71055    5.5511e-16      0.71055
ENSG00000200403    1   19621570   19666676     28       8  673983     -0.20579    5.2736e-16     -0.20579
ENSG00000265192    1   19636299   19681554     41       7  685350      -1.8061    4.4409e-16      -1.8061
ENSG00000240490    1   19715878   19761163     47       5  689489     -0.34864     4.996e-16     -0.34864
ENSG00000201609    1   19802087   19847227     31       6  684134       0.6998    5.5511e-16       0.6998
ENSG00000226396    1   19899608   19945062     21       5  687213      0.46626     4.996e-16      0.46626
ENSG00000235185    1   19908296   19958326     28       6  687004      0.42357     4.996e-16      0.42357
ENSG00000235434    1   20105860   20155995     38      12  646055      -1.7079    4.4409e-16      -1.7079
ENSG00000242688    1   20262462   20307760     58      13  682606     -0.50034    5.5511e-16     -0.50034
ENSG00000227066    1   20445831   20497061     24       7  676021      -1.6259    4.4409e-16      -1.6259
ENSG00000225986    1   20500735   20547979     29       6  687581        1.014    4.4409e-16        1.014
ENSG00000228105    1   20534588   20581148     51      10  690249      0.57811    5.5511e-16      0.57811
ENSG00000226664    1   20610704   20684680    111      15  687795     -0.93226    5.5511e-16     -0.93226
ENSG00000236963    1   20677072   20792727    108      20  685963      -2.3034    4.4409e-16      -2.3034
ENSG00000226487    1   20728797   20774746     41      10  682440      -2.0288    4.4409e-16      -2.0288
ENSG00000215520    1   20817482   20863244     37       7  681980     -0.33568     4.996e-16     -0.33568
ENSG00000117242    1   20959150   21013686     51       8  678213     -0.99944    5.5511e-16     -0.99944
ENSG00000257033    1   20966856   21012207     46       8  677660      -1.0041    4.4409e-16      -1.0041
ENSG00000235432    1   21009227   21055506     41      13  674874      0.36122     4.996e-16      0.36122
ENSG00000233069    1   21024373   21070445     35       8  683438     -0.76425    5.5511e-16     -0.76425
ENSG00000203394    1   21034480   21080455     33       7  684615     -0.67761    5.5511e-16     -0.67761
ENSG00000251914    1   21132734   21177795     16       3  694198     -0.83068    5.5511e-16     -0.83068
ENSG00000221808    1   21304807   21349925     18       3  690197       -2.112    4.4409e-16       -2.112
ENSG00000233072    1   21320043   21365427     17       4  686082      -2.0135    4.4409e-16      -2.0135
ENSG00000236073    1   21390132   21435246     20       2  688832      -2.2709    4.4409e-16      -2.2709
ENSG00000235112    1   21452968   21498574     14       2  688456      -2.1535    4.4409e-16      -2.1535
ENSG00000266867    1   21493059   21538122     12       2  687575      -2.1969    4.4409e-16      -2.1969
ENSG00000236936    1   21557575   21603744     43      10  686844       -2.015    4.4409e-16       -2.015
ENSG00000231105    1   21584783   21636267     42      11  682375       -1.573    4.4409e-16       -1.573
ENSG00000236216    1   21689480   21734855     13       3  685137       -1.137    4.4409e-16       -1.137
ENSG00000236009    1   21707391   21753985     11       4  677097     -0.79659    5.5511e-16     -0.79659
ENSG00000187952    1   21719796   21766030      8       3  672833     -0.15726    5.2736e-16     -0.15726
ENSG00000186543    1   21725811   21774051     11       4  674425      0.86218    5.5511e-16      0.86218
ENSG00000228823    1   21727953   21774786     11       4  674425      0.86218    5.5511e-16      0.86218
ENSG00000227001    1   21741118   21789460     20       5  674276      0.54824    5.5511e-16      0.54824
ENSG00000176378    1   21776249   21821575     26       4  694879      0.34076     4.996e-16      0.34076
ENSG00000233431    1   21877965   21927680     59      11  680559      -1.0952    4.4409e-16      -1.0952
ENSG00000221781    1   21908904   21954041     41      12  673453     -0.47925     4.996e-16     -0.47925
ENSG00000231978    1   22059762   22105068     35       4  684010     -0.62536    5.5511e-16     -0.62536
ENSG00000232037    1   22199591   22245073     28       3  678478     -0.58402    5.5511e-16     -0.58402
ENSG00000263991    1   22278974   22324268     33       6  682592      0.64106    5.5511e-16      0.64106
ENSG00000201919    1   22279309   22324412     31       6  682045      0.69839    5.5511e-16      0.69839
ENSG00000264385    1   22295444   22340729     11       3  683337      0.36579     4.996e-16      0.36579
ENSG00000263929    1   22302143   22347437     13       4  681440      0.49783     4.996e-16      0.49783
ENSG00000201273    1   22302478   22347581     13       4  681440      0.49783     4.996e-16      0.49783
ENSG00000218510    1   22316681   22367716     12       3  676679     0.078118    5.2736e-16     0.078118
ENSG00000263582    1   22320078   22365361     12       3  676679     0.078118    5.2736e-16     0.078118
ENSG00000228397    1   22340487   22386461     20       5  679479     0.071497    5.2736e-16     0.071497
ENSG00000230068    1   22350690   22400692     26       5  677490    -0.017905    5.2389e-16    -0.017905
ENSG00000271428    1   22384833   22430320     38       6  676693     -0.23199    5.2736e-16     -0.23199
ENSG00000271840    1   22392106   22437853     40       7  680080    0.0058598    5.2475e-16    0.0058598
ENSG00000266564    1   22557732   22602793     68      10  684606      0.85428    5.5511e-16      0.85428
ENSG00000234397    1   22639333   22684824     38       9  663920      0.98647    5.5511e-16      0.98647
ENSG00000237200    1   22808967   22856201     27       4  675164     -0.74261    5.5511e-16     -0.74261
ENSG00000265422    1   23011010   23056091     35       7  678249     -0.57723    5.5511e-16     -0.57723
ENSG00000216157    1   23065310   23110404     30      10  682582       1.6094    4.4409e-16       1.6094
ENSG00000225952    1   23152206   23198342     12       5  670189       1.5289    4.4409e-16       1.5289
ENSG00000264014    1   23179652   23224719     14       4  671323       3.5348    4.4409e-16       3.5348
ENSG00000272796    1   23208175   23257993     12       2  664167       3.3918    4.4409e-16       3.3918
ENSG00000263793    1   23335798   23380865     13       2  688585       6.2964    8.8818e-16       6.2964
ENSG00000240553    1   23336640   23449551     37       4  697172       5.8816    8.8818e-16       5.8816
ENSG00000266802    1   23374351   23419427     17       2  686105       6.3402    8.8818e-16       6.3402
ENSG00000229010    1   23431818   23477635     20       3  697234       2.5037    4.4409e-16       2.5037
ENSG00000206935    1   23454197   23499303     15       3  691976       2.0066    4.4409e-16       2.0066
ENSG00000252578    1   23455446   23500546     14       3  691945       1.2662    4.4409e-16       1.2662
ENSG00000215381    1   23536258   23581717     26       4  695717       1.2003    4.4409e-16       1.2003
ENSG00000261326    1   23597802   23648245     18       3  683272       1.3897    4.4409e-16       1.3897
ENSG00000271420    1   23694873   23740522     35       7  700449       3.3394    4.4409e-16       3.3394
ENSG00000232482    1   23702325   23748639     37       8  700524        3.273    4.4409e-16        3.273
ENSG00000235052    1   23865630   23912406     22       6  681654      0.93738    5.5511e-16      0.93738
ENSG00000229239    1   23961784   24016749     34       6  685930      -1.8552    4.4409e-16      -1.8552
ENSG00000203589    1   24022291   24068424     13       3  682075      -3.4463    4.4409e-16      -3.4463
ENSG00000244609    1   24053100   24098380     10       3  691658     -0.44012     4.996e-16     -0.44012
ENSG00000236810    1   24076872   24139777     13       3  692746     0.054717    5.2736e-16     0.054717
