# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = L4_RORB_MET (set)
VARIABLE                 TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
L5-6_TLE4_HTR2C           SET     36    2170    -0.060598    -0.012211     0.024262      0.99375
L4_RORB_MET               SET     37    2298     0.075986     0.015736      0.02418   0.00083839
L5-6_TLE4_SCUBE1          SET     37    2319     0.019714    0.0041003     0.024041      0.20611
L4_RORB_MET               SET     38    2298      0.06602     0.013672      0.02453    0.0035597
L5-6_TLE4_SORCS1          SET     38    2271     0.053432     0.011003     0.024212     0.013665
L4_RORB_MET               SET     39    2298     0.078802      0.01632      0.02381   0.00046747
LAMP5_CCK                 SET     39    2151     0.012335    0.0024752     0.024637       0.3083
L4_RORB_MET               SET     40    2298     0.079334      0.01643     0.023765   0.00042198
LAMP5_NDNF                SET     40    2125    0.0083361     0.001663     0.024313      0.36585
L4_RORB_MET               SET     41    2298     0.078775     0.016314     0.023766   0.00045933
LAMP5_NOS1                SET     41    2084     0.017576    0.0034739     0.024584      0.23732
L4_RORB_MET               SET     42    2298     0.079087     0.016378     0.023719    0.0004281
MGE_dev-1                 SET     42    1980     0.059881     0.011549     0.024918    0.0081296
L4_RORB_MET               SET     43    2298     0.078744     0.016307     0.023723    0.0004517
MGE_dev-2                 SET     43    1937     0.054441     0.010389     0.024951     0.014562
L4_RORB_MET               SET     44    2298      0.08029     0.016628     0.023721    0.0003566
Micro                     SET     44    2240     -0.03298   -0.0067472     0.023927      0.91595
L4_RORB_MET               SET     45    2298     0.081234     0.016823     0.023722   0.00030836
Micro_out                 SET     45    1801    -0.074629    -0.013752     0.026258      0.99776
L4_RORB_MET               SET     46    2298     0.080804     0.016734     0.023717   0.00032869
Oligo_mat                 SET     46    2290     0.086078     0.017797     0.024342   0.00020328
L4_RORB_MET               SET     47    2298     0.081498     0.016878      0.02372   0.00029568
Oligo-1                   SET     47    2236     0.086242     0.017629     0.024432   0.00020822
L4_RORB_MET               SET     48    2298     0.080618     0.016696     0.023719   0.00033866
Oligo-2                   SET     48    2264     0.064222     0.013206     0.024217    0.0040033
L4_RORB_MET               SET     49    2298      0.08087     0.016748     0.023715   0.00032508
Oligo-3                   SET     49    2180     0.099106     0.020015     0.024358   2.3685e-05
L4_RORB_MET               SET     50    2298     0.080319     0.016634     0.023718   0.00035439
Oligo-4                   SET     50    2013     0.067735     0.013167     0.025404    0.0038368
L4_RORB_MET               SET     51    2298     0.080447      0.01666      0.02372   0.00034797
Oligo-5                   SET     51    1916     0.048697    0.0092445     0.025928     0.030186
L4_RORB_MET               SET     52    2298     0.078652     0.016288     0.023732   0.00046015
OPC                       SET     52    2349     0.035048    0.0073345     0.023916     0.071406
L4_RORB_MET               SET     53    2298     0.079602     0.016485     0.023722    0.0003963
OPC_dev                   SET     53    2111     0.017183    0.0034171     0.024623      0.24264
L4_RORB_MET               SET     54    2298     0.079054     0.016372     0.023727   0.00043178
OPC_MBP                   SET     54    2051     0.032713    0.0064163     0.025284      0.09787
L4_RORB_MET               SET     55    2298     0.079057     0.016372     0.023719   0.00043001
PN_dev                    SET     55    2328     0.057558     0.011994     0.023147    0.0064509
L4_RORB_MET               SET     56    2298     0.076764     0.015897     0.023747   0.00061389
PV_dev                    SET     56    2074     0.064635     0.012746     0.024869    0.0046767
L4_RORB_MET               SET     57    2298     0.079223     0.016407     0.023791   0.00043485
PV_SCUBE3                 SET     57    2061    0.0082183    0.0016157     0.024683      0.36958
L4_RORB_MET               SET     58    2298     0.079268     0.016416     0.023724   0.00041742
PV_SCUBE3_dev             SET     58    1801     0.031037    0.0057192     0.026221      0.11827
L4_RORB_MET               SET     59    2298     0.080926     0.016759     0.023766   0.00033098
PV_SST                    SET     59    1942    -0.018364   -0.0035087     0.025055       0.7682
L4_RORB_MET               SET     60    2298     0.080874     0.016749     0.023847   0.00034815
PV_SULF1                  SET     60    2077    -0.010392   -0.0020507     0.024763      0.66264
L4_RORB_MET               SET     61    2298     0.081062     0.016788     0.023762   0.00032347
PV_SULF1_dev              SET     61    1908    -0.021882   -0.0041456     0.025479      0.80478
L4_RORB_MET               SET     62    2298      0.08044     0.016659     0.023829   0.00036843
PV_WFDC2                  SET     62    2248   -0.0062422   -0.0012792     0.023658      0.60405
L4_RORB_MET               SET     63    2298     0.078432     0.016243     0.023813   0.00049492
SST_ADGRG6                SET     63    2144     0.016473    0.0033003     0.024682      0.25226
L4_RORB_MET               SET     64    2298     0.079471     0.016458     0.023775   0.00041542
SST_ADGRG6_dev            SET     64    2067    0.0056313    0.0011087     0.024859       0.4104
L4_RORB_MET               SET     65    2298      0.07943      0.01645     0.023819   0.00042735
SST_B3GAT2                SET     65    2120    0.0045483   0.00090636     0.024194      0.42544
L4_RORB_MET               SET     66    2298     0.080138     0.016596     0.023769   0.00037424
SST_BRINP3                SET     66    1928   -0.0048941  -0.00093187     0.025207      0.57697
L4_RORB_MET               SET     67    2298     0.081568     0.016892     0.023859   0.00031489
SST_CALB1                 SET     67    2074    -0.016649    -0.003283      0.02482      0.74881
L4_RORB_MET               SET     68    2298     0.078099     0.016174     0.023797   0.00051607
SST_CALB1_dev             SET     68    2172     0.021959    0.0044268     0.024281      0.18291
L4_RORB_MET               SET     69    2298     0.080713     0.016715     0.023742   0.00033787
SST_NPY                   SET     69    1620    -0.022487   -0.0039371     0.026874      0.79864
L4_RORB_MET               SET     70    2298     0.082559     0.017098     0.023765   0.00025673
SST_STK32A                SET     70    2081    -0.045913   -0.0090683     0.025171      0.96592
L4_RORB_MET               SET     71    2298     0.080828     0.016739     0.023795   0.00034119
SST_TH                    SET     71    1855    -0.013364   -0.0024977     0.025582       0.6993
L4_RORB_MET               SET     72    2298     0.081339     0.016845     0.023726   0.00030414
Vas_CLDN5                 SET     72    1576    -0.064719    -0.011181     0.027761      0.99013
L4_RORB_MET               SET     73    2298     0.081089     0.016793     0.023721   0.00031531
Vas_PDGFRB                SET     73    1579     -0.07452    -0.012886     0.027262      0.99686
L4_RORB_MET               SET     74    2298     0.084626     0.017526     0.023728   0.00018109
Vas_TBX18                 SET     74    1929     -0.13175    -0.025092     0.025219            1
L4_RORB_MET               SET     75    2298     0.080947     0.016764     0.023784    0.0003332
VIP_ABI3BP                SET     75    2089     -0.01543   -0.0030532     0.024497      0.73561
L4_RORB_MET               SET     76    2298      0.07948      0.01646     0.023803   0.00042082
VIP_ADAMTSL1              SET     76    2061    0.0043684   0.00085883     0.024265      0.42857
L4_RORB_MET               SET     77    2298     0.079983     0.016564     0.023807   0.00039059
VIP_CHRM2                 SET     77    2195   -0.0017049  -0.00034543     0.024167      0.52812
L4_RORB_MET               SET     78    2298      0.08042     0.016655     0.023834    0.0003707
VIP_CRH                   SET     78    2145   -0.0060184   -0.0012061      0.02424      0.59804
L4_RORB_MET               SET     79    2298     0.079669     0.016499      0.02372   0.00039195
VIP_dev                   SET     79    1663     0.022845    0.0040508     0.026841      0.19735
L4_RORB_MET               SET     80    2298     0.079951     0.016557     0.023763   0.00038374
VIP_DPP6                  SET     80    2040   -0.0018921  -0.00037017     0.024248       0.5311
L4_RORB_MET               SET     81    2298     0.080705     0.016714     0.023786    0.0003461
VIP_HS3ST3A1              SET     81    2178    -0.011782   -0.0023784      0.02421      0.68676
L4_RORB_MET               SET     82    2298      0.07888     0.016336     0.023767    0.0004523
VIP_KIRREL3               SET     82    2077     0.015702    0.0030986     0.024618      0.26179
L4_RORB_MET               SET     83    2298     0.078663     0.016291     0.023744   0.00046215
VIP_PCDH20                SET     83    1686     0.029138     0.005201     0.027212      0.14214
