# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = L4_RORB_LRRK1 (set)
VARIABLE                 TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
L2-3_CUX2_dev-3           SET     20    2307    -0.005051    -0.001048     0.023991      0.58338
L4_RORB_LRRK1             SET     21    2314      0.10104     0.020993     0.023442    8.183e-06
L2-3_CUX2_dev-4           SET     21    2166      0.03222    0.0064869     0.023682     0.086832
L4_RORB_LRRK1             SET     22    2314      0.10378     0.021564     0.024429   1.0794e-05
L2-3_CUX2_dev-5           SET     22    2220   -0.0088772   -0.0018084     0.024686      0.64043
L4_RORB_LRRK1             SET     23    2314      0.10012     0.020804     0.023466   9.9493e-06
L2-3_CUX2_dev-6           SET     23    2127     0.026467    0.0052826     0.024311      0.13814
L4_RORB_LRRK1             SET     24    2314      0.10083      0.02095     0.023448   8.5612e-06
L2-3_CUX2_dev-fetal       SET     24    2141     0.019876    0.0039794     0.023602      0.19987
L4_RORB_LRRK1             SET     25    2314      0.11225     0.023323     0.024982   3.5225e-06
L3_CUX2_PRSS12            SET     25    2235    -0.032489   -0.0066397     0.025671      0.89717
L4_RORB_LRRK1             SET     26    2314      0.10369     0.021545     0.023524   5.2347e-06
L4_RORB_dev-1             SET     26    1989    -0.029615   -0.0057239      0.02455      0.88615
L4_RORB_LRRK1             SET     27    2314     0.075012     0.015586     0.024228   0.00098125
L4_RORB_dev-2             SET     27    2309      0.10407     0.021601     0.024324   9.4363e-06
L4_RORB_LRRK1             SET     28    2314       0.0987     0.020508     0.023451   1.2873e-05
L4_RORB_dev-fetal         SET     28    2317     0.076518     0.015909     0.023434   0.00054737
L4_RORB_LRRK1             SET     29    2314     0.082554     0.017153     0.026148   0.00079729
L4_RORB_MET               SET     29    2298     0.042825    0.0088688     0.026456     0.052757
L4_RORB_LRRK1             SET     30    2314      0.10025      0.02083     0.024633    2.358e-05
L4_RORB_MME               SET     30    2189    0.0035357   0.00071545     0.025224      0.44426
L4_RORB_LRRK1             SET     31    2314     0.095477     0.019838     0.025335   8.2231e-05
L5-6_THEMIS_CNR1          SET     31    2134     0.015759    0.0031502     0.025958       0.2719
L4_RORB_LRRK1             SET     32    2314      0.10086     0.020956      0.02344   8.4573e-06
L5-6_THEMIS_dev-1         SET     32    2334     0.058996     0.012309     0.023347    0.0057547
L4_RORB_LRRK1             SET     33    2314     0.093656      0.01946     0.023711   3.9169e-05
L5-6_THEMIS_dev-2         SET     33    2294     0.050787     0.010509     0.023718     0.016127
L4_RORB_LRRK1             SET     34    2314     0.096659     0.020084     0.024357   3.6241e-05
L5-6_THEMIS_NTNG2         SET     34    1924     0.018413    0.0035024     0.026176       0.2409
L4_RORB_LRRK1             SET     35    2314     0.099953     0.020768     0.023454   1.0173e-05
L5-6_TLE4_dev             SET     35    2327      0.03895    0.0081147     0.022958     0.044896
L4_RORB_LRRK1             SET     36    2314      0.11647       0.0242     0.024046   6.4063e-07
L5-6_TLE4_HTR2C           SET     36    2170    -0.068844    -0.013873     0.024398      0.99761
L4_RORB_LRRK1             SET     37    2314     0.098642     0.020496     0.024075   2.0947e-05
L5-6_TLE4_SCUBE1          SET     37    2319     0.011781    0.0024504     0.024217      0.31332
L4_RORB_LRRK1             SET     38    2314      0.08833     0.018353     0.024519    0.0001578
L5-6_TLE4_SORCS1          SET     38    2271     0.044189    0.0090998     0.024485     0.035564
L4_RORB_LRRK1             SET     39    2314      0.10046     0.020873     0.023531   9.8393e-06
LAMP5_CCK                 SET     39    2151     0.010241     0.002055     0.024635      0.33882
L4_RORB_LRRK1             SET     40    2314      0.10091     0.020967     0.023476   8.6236e-06
LAMP5_NDNF                SET     40    2125    0.0077282    0.0015418     0.024299      0.37523
L4_RORB_LRRK1             SET     41    2314       0.1002     0.020819     0.023525   1.0292e-05
LAMP5_NOS1                SET     41    2084      0.01382    0.0027315     0.024621       0.2873
L4_RORB_LRRK1             SET     42    2314        0.101     0.020987      0.02344   8.2197e-06
MGE_dev-1                 SET     42    1980     0.060395     0.011648     0.024913    0.0076728
L4_RORB_LRRK1             SET     43    2314      0.10084     0.020953     0.023441   8.4898e-06
MGE_dev-2                 SET     43    1937     0.055217     0.010537     0.024944      0.01343
L4_RORB_LRRK1             SET     44    2314      0.10159     0.021109     0.023442   7.3479e-06
Micro                     SET     44    2240    -0.032768   -0.0067038     0.023923      0.91461
L4_RORB_LRRK1             SET     45    2314      0.10212     0.021218      0.02344   6.6309e-06
Micro_out                 SET     45    1801    -0.074156    -0.013664     0.026252      0.99763
L4_RORB_LRRK1             SET     46    2314      0.10266     0.021331      0.02344   5.9609e-06
Oligo_mat                 SET     46    2290     0.086841     0.017955     0.024341   0.00018034
L4_RORB_LRRK1             SET     47    2314      0.10244     0.021285     0.023439   6.2167e-06
Oligo-1                   SET     47    2236     0.086039     0.017587     0.024427   0.00021424
L4_RORB_LRRK1             SET     48    2314      0.10209     0.021211     0.023441   6.6707e-06
Oligo-2                   SET     48    2264      0.06451     0.013265     0.024214    0.0038613
L4_RORB_LRRK1             SET     49    2314      0.10226     0.021247     0.023437   6.4323e-06
Oligo-3                   SET     49    2180     0.099268     0.020047     0.024355   2.2971e-05
L4_RORB_LRRK1             SET     50    2314       0.1022     0.021236     0.023441   6.5212e-06
Oligo-4                   SET     50    2013     0.068643     0.013344     0.025403    0.0034468
L4_RORB_LRRK1             SET     51    2314      0.10135     0.021059      0.02344   7.6853e-06
Oligo-5                   SET     51    1916     0.047606    0.0090374     0.025923     0.033152
L4_RORB_LRRK1             SET     52    2314      0.10027     0.020834     0.023452   9.5587e-06
OPC                       SET     52    2349     0.034614    0.0072436     0.023911     0.073871
L4_RORB_LRRK1             SET     53    2314      0.10106     0.020998     0.023444    8.165e-06
OPC_dev                   SET     53    2111     0.016667    0.0033145     0.024621      0.24922
L4_RORB_LRRK1             SET     54    2314      0.10094     0.020974     0.023442   8.3337e-06
OPC_MBP                   SET     54    2051     0.033581    0.0065867     0.025275     0.091985
L4_RORB_LRRK1             SET     55    2314      0.10185     0.021163      0.02344   6.9733e-06
PN_dev                    SET     55    2328     0.059488     0.012396     0.023144    0.0050815
L4_RORB_LRRK1             SET     56    2314      0.09922     0.020616     0.023453   1.1682e-05
PV_dev                    SET     56    2074      0.06506     0.012829      0.02485    0.0044232
L4_RORB_LRRK1             SET     57    2314      0.10084     0.020952      0.02351   8.9917e-06
PV_SCUBE3                 SET     57    2061    0.0065538    0.0012885     0.024677      0.39528
L4_RORB_LRRK1             SET     58    2314      0.10103     0.020992     0.023442   8.1962e-06
PV_SCUBE3_dev             SET     58    1801     0.031691    0.0058395     0.026214      0.11335
L4_RORB_LRRK1             SET     59    2314      0.10256     0.021311     0.023492   6.3503e-06
PV_SST                    SET     59    1942    -0.020252   -0.0038695     0.025057      0.79051
L4_RORB_LRRK1             SET     60    2314      0.10278     0.021357      0.02359   6.6079e-06
PV_SULF1                  SET     60    2077    -0.013806   -0.0027243     0.024783      0.71126
L4_RORB_LRRK1             SET     61    2314       0.1025     0.021297     0.023478   6.3572e-06
PV_SULF1_dev              SET     61    1908    -0.022907   -0.0043399      0.02547      0.81577
L4_RORB_LRRK1             SET     62    2314      0.10245     0.021286      0.02359   7.0567e-06
PV_WFDC2                  SET     62    2248    -0.010155   -0.0020811     0.023697      0.66587
L4_RORB_LRRK1             SET     63    2314      0.10004     0.020787     0.023576   1.1038e-05
SST_ADGRG6                SET     63    2144     0.012468    0.0024979     0.024724      0.30703
L4_RORB_LRRK1             SET     64    2314      0.10105     0.020996     0.023493   8.5192e-06
SST_ADGRG6_dev            SET     64    2067    0.0042368   0.00083411     0.024853      0.43232
L4_RORB_LRRK1             SET     65    2314      0.10122     0.021031     0.023574   8.8111e-06
SST_B3GAT2                SET     65    2120   0.00090454   0.00018025     0.024226      0.48511
L4_RORB_LRRK1             SET     66    2314      0.10189      0.02117     0.023513   7.3679e-06
SST_BRINP3                SET     66    1928   -0.0079157   -0.0015072     0.025228      0.62315
L4_RORB_LRRK1             SET     67    2314      0.10296     0.021393     0.023551   6.1836e-06
SST_CALB1                 SET     67    2074    -0.017944   -0.0035384     0.024788      0.76543
L4_RORB_LRRK1             SET     68    2314     0.099664     0.020708     0.023532   1.1446e-05
SST_CALB1_dev             SET     68    2172      0.01936     0.003903     0.024293      0.21274
L4_RORB_LRRK1             SET     69    2314      0.10206     0.021207     0.023458   6.7958e-06
SST_NPY                   SET     69    1620    -0.022876   -0.0040051     0.026864      0.80276
L4_RORB_LRRK1             SET     70    2314      0.10448     0.021709     0.023498   4.3829e-06
SST_STK32A                SET     70    2081    -0.048294   -0.0095386     0.025181      0.97243
L4_RORB_LRRK1             SET     71    2314      0.10294     0.021388      0.02356   6.2523e-06
SST_TH                    SET     71    1855    -0.017663   -0.0033014     0.025627      0.75467
L4_RORB_LRRK1             SET     72    2314      0.10159     0.021109      0.02344   7.3385e-06
Vas_CLDN5                 SET     72    1576    -0.062773    -0.010845     0.027749      0.98815
L4_RORB_LRRK1             SET     73    2314      0.10256      0.02131     0.023443   6.0922e-06
Vas_PDGFRB                SET     73    1579    -0.075033    -0.012975     0.027259      0.99704
L4_RORB_LRRK1             SET     74    2314      0.10405      0.02162     0.023438   4.5219e-06
Vas_TBX18                 SET     74    1929      -0.1308    -0.024911     0.025204            1
L4_RORB_LRRK1             SET     75    2314      0.10225     0.021246     0.023486   6.7118e-06
VIP_ABI3BP                SET     75    2089    -0.015852   -0.0031367     0.024474      0.74141
L4_RORB_LRRK1             SET     76    2314      0.10103     0.020993      0.02349   8.5195e-06
VIP_ADAMTSL1              SET     76    2061    0.0044703   0.00087886     0.024227      0.42681
L4_RORB_LRRK1             SET     77    2314      0.10142     0.021073     0.023493   7.9311e-06
VIP_CHRM2                 SET     77    2195   -0.0016495  -0.00033422     0.024129      0.52725
L4_RORB_LRRK1             SET     78    2314       0.1017      0.02113     0.023502   7.5753e-06
VIP_CRH                   SET     78    2145   -0.0055037   -0.0011029     0.024183      0.59001
L4_RORB_LRRK1             SET     79    2314      0.10102      0.02099     0.023444   8.2264e-06
VIP_dev                   SET     79    1663      0.02182     0.003869      0.02684      0.20812
L4_RORB_LRRK1             SET     80    2314      0.10165     0.021121     0.023506   7.6638e-06
VIP_DPP6                  SET     80    2040   -0.0047517  -0.00092962     0.024268      0.57762
L4_RORB_LRRK1             SET     81    2314      0.10223     0.021241     0.023501   6.8337e-06
VIP_HS3ST3A1              SET     81    2178    -0.013165   -0.0026576     0.024201      0.70678
L4_RORB_LRRK1             SET     82    2314      0.10044      0.02087      0.02349   9.5411e-06
VIP_KIRREL3               SET     82    2077     0.014066    0.0027756     0.024617      0.28387
L4_RORB_LRRK1             SET     83    2314      0.10023     0.020825     0.023465   9.7376e-06
VIP_PCDH20                SET     83    1686     0.028108    0.0050171     0.027207      0.15078
