# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000116198    1    3718645    3808778    104      12  696506        1.428   -3.1086e-15        1.428
ENSG00000169598    1    3738845    3811993     91      13  696936       1.6773   -3.1086e-15       1.6773
ENSG00000198912    1    3795689    3851857     35       5  690775      -2.0627   -3.1086e-15      -2.0627
ENSG00000196581    1    4679792    4862594    281      54  691944      -2.5226   -3.1086e-15      -2.5226
ENSG00000131697    1    5912871    6087533    181      15  700325      -2.1206   -3.1086e-15      -2.1206
ENSG00000069424    1    6016526    6171253     94      19  681597      -2.1681   -3.1086e-15      -2.1681
ENSG00000268332    1    6090630    6136399     21       6  680740      -1.6048   -3.1086e-15      -1.6048
ENSG00000116254    1    6151853    6275183     60      14  664462      -1.4482   -3.1086e-15      -1.4482
ENSG00000158286    1    6230535    6291359     16       5  662873      -1.2478   -3.1086e-15      -1.2478
ENSG00000116251    1    6231329    6304449     18       5  665907      -1.2215   -3.1086e-15      -1.2215
ENSG00000173673    1    6269252    6315638     16       4  672475     -0.73862   -3.1086e-15     -0.73862
ENSG00000116237    1    6271253    6331032     19       4  672846     -0.66659   -3.1086e-15     -0.66659
ENSG00000158292    1    6297406    6356035     16       5  680759     -0.65742   -3.1086e-15     -0.65742
ENSG00000097021    1    6314329    6489451     60       8  696517      0.31274   -3.0531e-15      0.31274
ENSG00000187017    1    6449848    6531430     21       4  704977     -0.27026   -3.0531e-15     -0.27026
ENSG00000069812    1    6462478    6519730     12       3  707050     -0.62165   -3.1086e-15     -0.62165
ENSG00000215788    1    6511211    6561255     15       4  680573      -2.8828   -3.1086e-15      -2.8828
ENSG00000171680    1    6516152    6615121     58       6  690798       3.4136   -3.1086e-15       3.4136
ENSG00000162408    1    6571407    6649595     49       3  693571       4.0473   -2.6645e-15       4.0473
ENSG00000173662    1    6580241    6649817     42       3  696568       4.0128   -2.6645e-15       4.0128
ENSG00000204859    1    6605061    6659340     21       5  687293       3.6354   -3.1086e-15       3.6354
ENSG00000116273    1    6638745    6694093     23       5  697748       1.2278   -3.1086e-15       1.2278
ENSG00000162413    1    6640784    6709667     33       6  699895       1.3204   -3.1086e-15       1.3204
ENSG00000041988    1    6649926    6705646     26       5  703787       1.0161   -3.1086e-15       1.0161
ENSG00000007923    1    6684228    6796984     60       7  705436      0.61177   -3.1086e-15      0.61177
ENSG00000171735    1    6810384    7839766    968     119  696862       0.4278   -3.0531e-15       0.4278
ENSG00000049245    1    7796329    7851492     30       7  686221       2.9702   -3.1086e-15       2.9702
ENSG00000049246    1    7809380    7915237     80      13  689955       3.7132   -3.1086e-15       3.7132
ENSG00000049247    1    7893143    7948572     25       8  695219       3.3904   -3.1086e-15       3.3904
ENSG00000049249    1    7969907    8035926     23       6  690630       3.4495   -3.1086e-15       3.4495
ENSG00000116288    1    7979351    8055565     26       6  696210       4.5775   -2.6645e-15       4.5775
ENSG00000116285    1    8054464    8121368     24       3  704019        4.963   -2.6645e-15        4.963
ENSG00000162426    1    8342886    8414227     33       7  694366      0.99333   -3.1086e-15      0.99333
ENSG00000142599    1    8402457    8912702    273      12  700838       3.0293   -3.1086e-15       3.0293
ENSG00000074800    1    8911061    8974308     39       6  695520     -0.32058   -3.0531e-15     -0.32058
ENSG00000131686    1    8970926    9045151     71      20  680453      -1.7966   -3.1086e-15      -1.7966
ENSG00000197241    1    9053359    9121404     55      15  676669      -3.2026   -3.1086e-15      -3.2026
ENSG00000142583    1    9085166    9183537     74      12  696660      -1.6976   -3.1086e-15      -1.6976
ENSG00000180758    1    9150364    9224229     48       9  701686     -0.82388   -3.1086e-15     -0.82388
ENSG00000049239    1    9259834    9341396     48      11  694905       2.8068   -3.1086e-15       2.8068
ENSG00000171621    1    9317939    9439591     76      25  691903       2.5332   -3.1086e-15       2.5332
ENSG00000171612    1    9564541    9655237     20       3  687482       2.0579   -3.1086e-15       2.0579
ENSG00000188807    1    9613932    9684935     22       3  696220      0.85285   -3.1086e-15      0.85285
ENSG00000171608    1    9676790    9799172     42      12  690307       1.0341   -3.1086e-15       1.0341
ENSG00000179840    1    9702668    9749644     17       4  682867      0.94627   -3.1086e-15      0.94627
ENSG00000171603    1    9779084    9919584     41       7  694719     -0.67585   -3.1086e-15     -0.67585
ENSG00000178585    1    9898334   10005394     31       5  706513     -0.78609   -3.1086e-15     -0.78609
ENSG00000173614    1    9968486   10055559     20       3  707701       1.0048   -3.1086e-15       1.0048
ENSG00000162441    1    9972173   10038465     18       3  708324      0.94626   -3.1086e-15      0.94626
ENSG00000162444    1   10022264   10086078     12       3  694080      0.69864   -3.1086e-15      0.69864
ENSG00000130939    1   10057890   10251297     50      10  692447       3.0963   -3.1086e-15       3.0963
ENSG00000054523    1   10235863   10451661    141       8  702420       4.2821   -2.6645e-15       4.2821
ENSG00000142657    1   10423649   10490201     30       4  699425       4.7091   -2.6645e-15       4.7091
ENSG00000251503    1   10455159   10522210     24       4  685139       4.3813   -2.6645e-15       4.3813
ENSG00000175279    1   10455159   10522210     24       4  685139       4.3813   -2.6645e-15       4.3813
ENSG00000241563    1   10474776   10521959     19       3  681944       2.7566   -3.1086e-15       2.7566
ENSG00000142655    1   10497345   10700815    157      17  700191       3.6387   -3.1086e-15       3.6387
ENSG00000160049    1   10506579   10567583     48       5  699644       1.6347   -3.1086e-15       1.6347
ENSG00000130940    1   10686661   10891707    101      35  657363      0.10003   -3.0531e-15      0.10003
ENSG00000175262    1   10996528   11077094     61      13  684252        3.249   -3.1086e-15        3.249
ENSG00000120948    1   11037414   11095796     29       5  691269       5.0572   -2.6645e-15       5.0572
ENSG00000009724    1   11076580   11142290     30       2  699366       3.8414   -3.1086e-15       3.8414
ENSG00000116649    1   11104641   11155081     20       2  695157       3.7338   -3.1086e-15       3.7338
ENSG00000171824    1   11116675   11194938     22       2  688994       4.1907   -2.6645e-15       4.1907
ENSG00000198793    1   11156592   11357564     51       3  685969       3.8726   -3.1086e-15       3.8726
ENSG00000171819    1   11214398   11266038      6       1  698220       4.1122   -2.6645e-15       4.1122
ENSG00000120942    1   11298263   11366106     23       3  676873       3.8585   -3.1086e-15       3.8585
ENSG00000204624    1   11504223   11607641     72       7  696678      -2.2762   -3.1086e-15      -2.2762
ENSG00000132879    1   11679432   11733384     29       8  674068      0.29571   -3.0531e-15      0.29571
ENSG00000116663    1   11689181   11744411     27       9  671055     -0.33027   -3.0531e-15     -0.33027
ENSG00000116661    1   11698424   11750842     20       8  654965      -1.3837   -3.1086e-15      -1.3837
ENSG00000162490    1   11716786   11795914     31      12  653812      -2.2769   -3.1086e-15      -2.2769
ENSG00000116670    1   11724537   11786707     26       9  656785      -2.6351   -3.1086e-15      -2.6351
ENSG00000177674    1   11761141   11824859     38      10  681467      -2.3619   -3.1086e-15      -2.3619
ENSG00000215910    1   11786844   11859642     64      10  699240      -1.4351   -3.1086e-15      -1.4351
ENSG00000011021    1   11831207   11913201    108      11  702489      -1.7143   -3.1086e-15      -1.7143
ENSG00000177000    1   11835780   11901977     90      10  703273      -1.5989   -3.1086e-15      -1.5989
ENSG00000175206    1   11895766   11943402     74      12  695503      -3.3937   -3.1086e-15      -3.3937
ENSG00000120937    1   11907521   11953988     53      10  691473      -4.3927   -2.6645e-15      -4.3927
ENSG00000083444    1   11959262   12045595     40       7  696546       -3.884   -3.1086e-15       -3.884
ENSG00000116685    1   11969648   12021485     27       5  699540      -3.6032   -3.1086e-15      -3.6032
ENSG00000116688    1   12005238   12083571     35       7  690851      -3.7051   -3.1086e-15      -3.7051
ENSG00000116691    1   12044523   12102102     24       5  688297      -3.4666   -3.1086e-15      -3.4666
ENSG00000120949    1   12088434   12214264     58      18  657602      -3.7313   -3.1086e-15      -3.7313
ENSG00000028137    1   12192060   12279285     56      11  672585      -2.5877   -3.1086e-15      -2.5877
ENSG00000048707    1   12255124   12582099     84      18  676964      -1.7868   -3.1086e-15      -1.7868
ENSG00000162496    1   12617939   12712737     80      21  659289      -1.8694   -3.1086e-15      -1.8694
ENSG00000204518    1   12669566   12737097     61      12  634311        -1.58   -3.1086e-15        -1.58
ENSG00000188984    1   12741118   12798726     59       8  669422      -1.6059   -3.1086e-15      -1.6059
ENSG00000157330    1   12771163   12833847     92       8  683725      -1.1679   -3.1086e-15      -1.1679
ENSG00000116726    1   12799984   12848049     50       6  687705     -0.98448   -3.1086e-15     -0.98448
ENSG00000116721    1   12816546   12866777     31       5  700259      -1.5561   -3.1086e-15      -1.5561
ENSG00000162494    1   13791445   13875543     91      21  688435        2.552   -3.1086e-15        2.552
ENSG00000162493    1   13874960   13954452     72      18  684423       3.6454   -3.1086e-15       3.6454
ENSG00000116731    1   13991693   14161574    164      22  695643      0.44717   -3.0531e-15      0.44717
ENSG00000189337    1   14890200   15454539    434      91  690700      -2.2846   -3.1086e-15      -2.2846
ENSG00000171729    1   15444028   15556976    161      22  700662      -2.3316   -3.1086e-15      -2.3316
ENSG00000204464    1   15480840   15532813     69      10  703321      -2.9215   -3.1086e-15      -2.9215
ENSG00000142621    1   15538768   15736779    167      32  690412      -0.5716   -3.1086e-15      -0.5716
ENSG00000142634    1   15701391   15766839     22       5  692664     -0.23738   -3.0531e-15     -0.23738
ENSG00000162438    1   15729935   15785737     17       5  693814      -2.1106   -3.1086e-15      -2.1106
ENSG00000142615    1   15748223   15808586     29       6  695077      -2.6624   -3.1086e-15      -2.6624
ENSG00000215704    1   15757404   15827895     51       9  701884     -0.97261   -3.1086e-15     -0.97261
ENSG00000132906    1   15807327   15888029     92       7  701034     -0.30555   -3.0531e-15     -0.30555
ENSG00000116138    1   15818308   15928874    103       7  701127     -0.50149   -3.1086e-15     -0.50149
ENSG00000116771    1   15888848   15946605     25       3  705294      -1.0739   -3.1086e-15      -1.0739
ENSG00000197312    1   15908995   16005539     53       3  705160      -1.3778   -3.1086e-15      -1.3778
ENSG00000215695    1   15951364   15998217     30       2  705281      -1.6852   -3.1086e-15      -1.6852
ENSG00000116786    1   15975827   16071264     56       4  705091      -0.8737   -3.1086e-15      -0.8737
ENSG00000162461    1   16027900   16077891     34       4  704339      -1.0707   -3.1086e-15      -1.0707
ENSG00000162460    1   16033917   16084477     34       4  704103     -0.95259   -3.1086e-15     -0.95259
ENSG00000162458    1   16048102   16123089     28       8  699460       2.9289   -3.1086e-15       2.9289
ENSG00000065526    1   16139359   16276955     52       7  693585       1.2685   -3.1086e-15       1.2685
ENSG00000116809    1   16258364   16337627     44       8  695682       1.6463   -3.1086e-15       1.6463
ENSG00000183888    1   16295731   16345302     38       7  685198       2.9842   -3.1086e-15       2.9842
ENSG00000186510    1   16310370   16370545     58      10  691301       2.7005   -3.1086e-15       2.7005
ENSG00000173641    1   16330523   16381089     61      12  694403       2.1058   -3.1086e-15       2.1058
ENSG00000184908    1   16335272   16393803     61      12  692901       2.1019   -3.1086e-15       2.1019
ENSG00000185519    1   16374264   16435127     25       6  685744       -2.834   -3.1086e-15       -2.834
ENSG00000142627    1   16440832   16517582     62       9  694455       1.7669   -3.1086e-15       1.7669
ENSG00000142632    1   16514349   16574104     31       5  697447      0.28928   -3.0531e-15      0.28928
ENSG00000204377    1   16545368   16591038     14       2  701967       -1.284   -3.1086e-15       -1.284
ENSG00000132881    1   16548195   16598657     16       2  702661     -0.89726   -3.1086e-15     -0.89726
ENSG00000037637    1   16563334   16713949     52       4  707321      -1.1018   -3.1086e-15      -1.1018
ENSG00000055070    1   16644070   16734640     45       6  703243     -0.45805   -3.0531e-15     -0.45805
ENSG00000187144    1   16703612   16798919     52      10  697443       1.0216   -3.1086e-15       1.0216
ENSG00000157191    1   16732167   16796573     31       7  694525       1.1435   -3.1086e-15       1.1435
ENSG00000268674    1   16830561   16876070      4       1  672341       1.4185   -3.1086e-15       1.4185
ENSG00000058453    1   17031768   17309474     12       4  696815       3.5862   -3.1086e-15       3.5862
ENSG00000117122    1   17290997   17342330     21       6  697501       2.9246   -3.1086e-15       2.9246
ENSG00000159363    1   17302453   17373423     31       6  700903       2.9385   -3.1086e-15       2.9385
ENSG00000117118    1   17335217   17415665     88       8  697436       4.4878   -2.6645e-15       4.4878
ENSG00000117115    1   17383256   17480948     88      10  694156       2.9957   -3.1086e-15       2.9957
ENSG00000142623    1   17496621   17582500    120      18  682049     -0.24437   -3.0531e-15     -0.24437
ENSG00000142619    1   17540593   17620728    119      22  685426      -0.4761   -3.0531e-15      -0.4761
ENSG00000159339    1   17599690   17700499    152      21  695012     -0.48319   -3.0531e-15     -0.48319
ENSG00000269468    1   17645507   17711070    104      15  691136     -0.58128   -3.1086e-15     -0.58128
ENSG00000179051    1   17723256   17801220     32       5  697538       0.9221   -3.1086e-15       0.9221
ENSG00000074964    1   17831330   18034369    143      18  688509      -1.6848   -3.1086e-15      -1.6848
ENSG00000117148    1   18046808   18163558     80      12  691269      -2.5867   -3.1086e-15      -2.5867
ENSG00000117154    1   18399240   18714977    355      69  693291      -3.7652   -3.1086e-15      -3.7652
ENSG00000179023    1   18772424   18822478     78      14  695738      -1.7708   -3.1086e-15      -1.7708
ENSG00000009709    1   18922500   19085360    157      34  668525      -3.7436   -3.1086e-15      -3.7436
ENSG00000179002    1   19156093   19221176     39      10  678924      -1.8724   -3.1086e-15      -1.8724
ENSG00000255275    1   19165767   19282615     45      16  667541      -1.7285   -3.1086e-15      -1.7285
ENSG00000159423    1   19187926   19264275     23       9  652246      -1.7349   -3.1086e-15      -1.7349
ENSG00000169991    1   19220775   19318180     47      10  674299       -1.341   -3.1086e-15       -1.341
ENSG00000127481    1   19391000   19571770    138      11  703203     -0.18444   -3.0531e-15     -0.18444
ENSG00000127463    1   19532158   19613046     55      11  696775     -0.43935   -3.0531e-15     -0.43935
ENSG00000053372    1   19543033   19596622     38       8  700733     -0.82042   -3.1086e-15     -0.82042
ENSG00000162482    1   19599052   19650744     30       8  682245       1.6947   -3.1086e-15       1.6947
ENSG00000040487    1   19603820   19665794     38      11  687324       4.3497   -2.6645e-15       4.3497
ENSG00000053371    1   19620459   19673640     36       8  686675       4.6789   -2.6645e-15       4.6789
ENSG00000077549    1   19655267   19847066    212      19  701924       2.5859   -3.1086e-15       2.5859
ENSG00000270136    1   19888473   19994549     56      11  697325        4.371   -2.6645e-15        4.371
ENSG00000173436    1   19888477   19966314     41       7  701015       3.8277   -3.1086e-15       3.8277
ENSG00000158747    1   19932048   19994945     34      10  691278       4.5359   -2.6645e-15       4.5359
ENSG00000158748    1   19956780   20016055     32       7  694095       1.5723   -3.1086e-15       1.5723
ENSG00000162542    1   19998706   20161438    115      32  678556       -3.953   -3.1086e-15       -3.953
ENSG00000178828    1   20130523   20176771     55      16  672994      -3.0339   -3.1086e-15      -3.0339
ENSG00000169914    1   20174006   20249438     60      13  696588       -3.775   -3.1086e-15       -3.775
ENSG00000188784    1   20236502   20285110     62      12  687685      -2.7177   -3.1086e-15      -2.7177
ENSG00000188257    1   20291925   20341932     32       9  690642      -2.8892   -3.1086e-15      -2.8892
ENSG00000127472    1   20319672   20427683     95      15  691765      -4.9155   -2.6645e-15      -4.9155
ENSG00000117215    1   20428432   20481050     27      12  674511      -1.2946   -3.1086e-15      -1.2946
ENSG00000158786    1   20430819   20486879     24      11  672656      -1.0784   -3.1086e-15      -1.0784
ENSG00000162543    1   20477578   20532541     44       9  697640      -1.9632   -3.1086e-15      -1.9632
ENSG00000187980    1   20477746   20538917     46      10  698197      -1.7308   -3.1086e-15      -1.7308
ENSG00000158816    1   20582412   20691387    177      23  702060     -0.61053   -3.1086e-15     -0.61053
ENSG00000162545    1   20798884   20847713     21       6  696552      0.89829   -3.1086e-15      0.89829
ENSG00000090432    1   20815943   20869654     52       7  698121      0.84545   -3.1086e-15      0.84545
ENSG00000183114    1   20843932   20891512     52       8  696960      0.94866   -3.1086e-15      0.94866
ENSG00000158825    1   20880441   20955401     62      14  693649       2.5994   -3.1086e-15       2.5994
ENSG00000158828    1   20924948   20988004     55       8  696658       1.4753   -3.1086e-15       1.4753
ENSG00000244038    1   20968270   21023000     54      10  689821       1.4812   -3.1086e-15       1.4812
ENSG00000117245    1   20980507   21079510     83      21  694939       2.6164   -3.1086e-15       2.6164
ENSG00000189410    1   21036225   21094330     36       7  701259       2.9375   -3.1086e-15       2.9375
ENSG00000127483    1   21059154   21148816     39       5  701172       3.1083   -3.1086e-15       3.1083
ENSG00000075151    1   21122963   21538377    175       8  703118       4.3682   -2.6645e-15       4.3682
ENSG00000117298    1   21533740   21706997    151      27  698773       2.6524   -3.1086e-15       2.6524
ENSG00000142794    1   21731621   21821498     38       7  693348      -2.1664   -3.1086e-15      -2.1664
ENSG00000162551    1   21800858   21914905    115      20  700488     -0.14066   -3.0531e-15     -0.14066
ENSG00000076864    1   21912708   22030801     99      27  693417       1.6388   -3.1086e-15       1.6388
ENSG00000090686    1   21994791   22145099    107      14  697210      -0.5744   -3.1086e-15      -0.5744
ENSG00000187942    1   22103758   22161714     34       9  692116      0.52354   -3.1086e-15      0.52354
ENSG00000142798    1   22138738   22298790    124      17  694412       3.3467   -3.1086e-15       3.3467
ENSG00000219073    1   22268514   22335135     39       6  697893       4.6718   -2.6645e-15       4.6718
ENSG00000142789    1   22293149   22349032     15       4  692550       4.4278   -2.6645e-15       4.4278
ENSG00000070831    1   22344120   22429437     55       8  695084       3.2496   -3.1086e-15       3.2496
ENSG00000162552    1   22433798   22505462     90      20  695584       3.9865   -3.1086e-15       3.9865
ENSG00000184677    1   22743344   22867650     71       8  691490      -1.4407   -3.1086e-15      -1.4407
ENSG00000070886    1   22855057   22940087     52      13  689557       -1.571   -3.1086e-15       -1.571
ENSG00000173372    1   22927999   22976101     40       7  702411     -0.89833   -3.1086e-15     -0.89833
ENSG00000159189    1   22935123   22984603     50       7  703541     -0.67752   -3.1086e-15     -0.67752
ENSG00000173369    1   22944255   22998031     56       7  701916     -0.48229   -3.0531e-15     -0.48229
ENSG00000133216    1   23002332   23251818    167      31  695007     -0.17657   -3.0531e-15     -0.17657
ENSG00000215906    1   23269536   23326831     25       3  691409       4.1803   -2.6645e-15       4.1803
ENSG00000004487    1   23310941   23420182     34       3  686114       3.9477   -3.1086e-15       3.9477
ENSG00000227868    1   23327327   23377343     14       2  679718        3.828   -3.1086e-15        3.828
ENSG00000169641    1   23400516   23539301     57       6  704747       3.0764   -3.1086e-15       3.0764
ENSG00000179546    1   23506993   23556222     27       4  707533       3.2389   -3.1086e-15       3.2389
ENSG00000125944    1   23620264   23705829     41       5  700690        4.314   -2.6645e-15        4.314
ENSG00000249087    1   23660490   23708332     33       5  700983       4.6371   -2.6645e-15       4.6371
ENSG00000125945    1   23675941   23730935     49       8  704529        3.364   -3.1086e-15        3.364
ENSG00000204219    1   23697554   23786233     67      11  701741      0.72645   -3.1086e-15      0.72645
ENSG00000088280    1   23745056   23846061     53       7  702206     0.064165   -3.0531e-15     0.064165
ENSG00000007968    1   23822922   23892712     29       8  698029      0.19298   -3.0531e-15      0.19298
ENSG00000197880    1   23872985   23977058     54      15  694821     -0.10721   -3.0531e-15     -0.10721
ENSG00000117318    1   23874409   23921285     20       5  689514      0.50531   -3.1086e-15      0.50531
ENSG00000142676    1   23983269   24032915     24       4  703820      -3.5009   -3.1086e-15      -3.5009
ENSG00000011007    1   24034645   24098549     17       4  697698       -1.623   -3.1086e-15       -1.623
ENSG00000057757    1   24069895   24124722     10       3  697395      -1.6382   -3.1086e-15      -1.6382
ENSG00000011009    1   24082460   24132029      9       3  698029      -2.1455   -3.1086e-15      -2.1455
ENSG00000117308    1   24112089   24162271     13       2  705235       -3.062   -3.1086e-15       -3.062
ENSG00000117305    1   24118375   24200110     20       2  702509      -2.2615   -3.1086e-15      -2.2615
ENSG00000179163    1   24161567   24229784     12       3  692415       -1.871   -3.1086e-15       -1.871
ENSG00000188822    1   24187016   24320549      6       1  681491     -0.52682   -3.1086e-15     -0.52682
ENSG00000142661    1   24372525   24473665    122      18  696791      -2.5595   -3.1086e-15      -2.5595
ENSG00000142677    1   24436261   24504611     70      12  695774      -1.8302   -3.1086e-15      -1.8302
ENSG00000185436    1   24470647   24549449     74      18  674613      -2.5917   -3.1086e-15      -2.5917
ENSG00000158055    1   24610812   24700972     89      11  697682      -1.6656   -3.1086e-15      -1.6656
ENSG00000001460    1   24673489   24778424     92       9  699862     -0.23675   -3.0531e-15     -0.23675
ENSG00000001461    1   24707284   24809466     83       8  700718     -0.18321   -3.0531e-15     -0.18321
ENSG00000117602    1   24794387   24877530     47       7  697302      -2.8144   -3.1086e-15      -2.8144
ENSG00000184454    1   24847602   24945819     58      15  693816      -3.2876   -3.1086e-15      -3.2876
ENSG00000133226    1   24923207   25009758     20       5  682706      -3.4316   -3.1086e-15      -3.4316
ENSG00000169504    1   25036848   25180815     42       4  703604       3.9576   -3.1086e-15       3.9576
ENSG00000020633    1   25216002   25326612     92      20  691919       2.6921   -3.1086e-15       2.6921
ENSG00000117614    1   25539170   25593993      2       1  683622       2.0483   -3.1086e-15       2.0483
ENSG00000117616    1   25558728   25699704      3       2  695183       3.0606   -3.1086e-15       3.0606
ENSG00000187010    1   25563884   25666936      1       1  706522        2.557   -3.1086e-15        2.557
ENSG00000183726    1   25629408   25698852      2       1  689513       3.3337   -3.1086e-15       3.3337
ENSG00000188672    1   25678740   25791683     10       2  687402        2.925   -3.1086e-15        2.925
ENSG00000204178    1   25722388   25836700      8       1  695119       4.6445   -2.6645e-15       4.6445
ENSG00000157978    1   25835071   25905377     18       2  678568     -0.69817   -3.1086e-15     -0.69817
ENSG00000117643    1   25908959   26122698     78      12  689770        1.095   -3.1086e-15        1.095
ENSG00000162430    1   26091667   26154713     35       7  692394       3.1891   -3.1086e-15       3.1891
ENSG00000255054    1   26102961   26160235     34       5  693290        3.473   -3.1086e-15        3.473
ENSG00000117640    1   26110131   26169432     36       4  697048       3.5917   -3.1086e-15       3.5917
ENSG00000223474    1   26135212   26182288     26       2  700796       3.8027   -3.1086e-15       3.8027
