# TOTAL_GENES = 51176
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
L4_RORB_MET_GO:0003008~system         SET     159      0.22362     0.012445     0.087173    0.0051576 L4_RORB_MET_GO:0003008~system
L4_RORB_MET_GO:0006813~potas...       SET      43      0.25141    0.0072845      0.16217     0.060549 L4_RORB_MET_GO:0006813~potassium
L4_RORB_MET_GO:0007186~G-pro...       SET      95   -0.0099865  -0.00042987      0.11133      0.53574 L4_RORB_MET_GO:0007186~G-protein
L4_RORB_MET_GO:0007267~cell-...       SET     156      0.32789     0.018076     0.083731   4.5099e-05 L4_RORB_MET_GO:0007267~cell-cell
L4_RORB_MET_GO:0030001~metal          SET     101      0.24865     0.011035       0.1052    0.0090542 L4_RORB_MET_GO:0030001~metal
L4_RORB_MET_GO:0034762~regul...       SET      66       0.4147     0.014883      0.12872   0.00063759 L4_RORB_MET_GO:0034762~regulation
L4_RORB_MET_GO:0034765~regul...       SET      66       0.4147     0.014883      0.12872   0.00063759 L4_RORB_MET_GO:0034765~regulation
L4_RORB_MET_GO:0042391~regul...       SET      58      0.40727     0.013703      0.13589    0.0013644 L4_RORB_MET_GO:0042391~regulation
L4_RORB_MET_GO:0043269~regul...       SET      87      0.36843     0.015178      0.11061   0.00043326 L4_RORB_MET_GO:0043269~regulation
L4_RORB_MET_GO:0048167~regul...       SET      34      0.60646     0.015627      0.16924   0.00016974 L4_RORB_MET_GO:0048167~regulation
L4_RORB_MET_GO:0050804~modul...       SET      66      0.53223     0.019101      0.12535   1.0915e-05 L4_RORB_MET_GO:0050804~modulation
L4_RORB_MET_GO:0050808~synap...       SET      47      0.44793     0.013568      0.14652     0.001118 L4_RORB_MET_GO:0050808~synapse
L4_RORB_MET_GO:0050877~neuro...       SET     103      0.27494     0.012322      0.10574    0.0046617 L4_RORB_MET_GO:0050877~neurological
L4_RORB_MET_GO:0050906~detec...       SET      24     0.015455   0.00033461      0.23765      0.47407 L4_RORB_MET_GO:0050906~detection
L4_RORB_MET_GO:0099536~synap...       SET      91      0.44269     0.018651      0.10743    1.892e-05 L4_RORB_MET_GO:0099536~synaptic
L4_RORB_MET_GO:0099537~trans...       SET      90      0.45422     0.019032      0.10798   1.2995e-05 L4_RORB_MET_GO:0099537~trans-synaptic
